model,augment,epochs,lr,batch_size,optimizer,mean_accuracy,std_accuracy,mean_loss,std_loss
simple,False,3,0.001,64,adam,0.988,0.0009000000000000119,0.04342817426940633,0.001913326972485308
simple,False,3,0.01,64,sgd,0.9656333333333333,0.0008144527815246817,0.15308744451668527,0.008645235963291848
simple,False,3,0.01,64,sgd_momentum,0.9881666666666666,0.0007234178138070077,0.043296970854989354,0.001130389606165895
deeper,False,3,0.001,64,adam,0.9878,0.0014106735979666023,0.03767431836107539,0.000291673013521051
